id_arbitro,nome_arbitro,nacionalidade,tipo
206800,Bruno de Araújo,Brazil,Árbitro
206954,Paulo Zanovelli da Silva,Brazil,Árbitro
11237,Flavio Rodrigues De Souza,Brazil,Árbitro
18754,Ramon Abatti Abel,Brazil,Árbitro
244605,Davi de Oliveira Lacerda,Brazil,Árbitro
206907,Savio Pereira Sampaio,Brazil,Árbitro
11161,Anderson Daronco,Brazil,Árbitro
11412,Wilton Sampaio,Brazil,Árbitro
206944,Rodrigo Pereira de Lima,Brazil,Árbitro
206929,Matheus Delgado Candançan,Brazil,Árbitro
56755,Lucas Paulo Torezin,Brazil,Árbitro
157663,Alex Gomes Stefano,Brazil,Árbitro
60899,Felipe Fernandes de Lima,Brazil,Árbitro
11260,Raphael Claus,Brazil,Árbitro
11277,Wagner do Nascimento Magalhaes,Brazil,Árbitro
206934,Denis da Silva Ribeiro Serafim,Brazil,Árbitro
206917,Rafael Klein,Brazil,Árbitro
265146,Lucas Casagrande,Brazil,Árbitro
147370,João Vitor Gobi,Brazil,Árbitro
250860,Fernando de Salles Nascimento,Brazil,Árbitro
206909,Bruno Pereira,Brazil,Árbitro
19023,Jonathan Benkenstein Pinheiro,Brazil,Árbitro
150097,Yuri Elino Ferreira da Cruz,Brazil,Árbitro
60939,Edina Alves Batista,Brazil,Árbitro
206977,André Skettino Policarpo Bento,Brazil,Árbitro
11173,Braulio da Silva Machado,Brazil,Árbitro
75722,Paulo Cesar Zanovelli da Silva,Brazil,Árbitro
60911,Luiz Alexandre Fernandes,Brazil,Árbitro
