id_jogador,id_time,nome_jogador,posicao,nacionalidade,data_nascimento
1230,1765,Fábio,Goleiro,Brazil,1980-09-30
44235,1765,Vitor Eudes,Goleiro,Brazil,1998-10-21
136654,1765,Marcelo Pitaluga,Goleiro,Brazil,2002-12-20
169278,1765,Gustavo Ramalho,Goleiro,Brazil,2002-09-16
291296,1765,Lucas Emanuel,Goleiro,Brazil,2008-05-25
1107,1765,Samuel Xavier,Defensor,Brazil,1990-06-06
1215,1765,Igor Rabello,Defensor,Brazil,1995-04-28
1546,1765,Renê,Defensor,Brazil,1992-09-14
12594,1765,Guga,Defensor,Brazil,1998-08-29
15929,1765,Guilherme Arana,Defensor,Brazil,1997-04-14
97470,1765,Ignácio,Defensor,Brazil,1996-12-01
98654,1765,Juan Freytes,Defensor,Argentina,2000-01-11
221385,1765,Julio Cesar,Defensor,Brazil,2006-11-06
250800,1765,Jemmes,Defensor,Brazil,2000-04-09
274161,1765,Davi Schuindt,Defensor,Brazil,2004-04-26
76,1765,Ganso,Meio-campista,Brazil,1989-10-12
1154,1765,Alisson,Meio-campista,Brazil,1993-06-25
8503,1765,Otávio,Meio-campista,Brazil,1994-05-04
23333,1765,Yeferson Soteldo,Meio-campista,Venezuela,1997-06-30
28561,1765,David Terans,Meio-campista,Uruguay,1994-08-11
61369,1765,Nonato,Meio-campista,Brazil,1998-03-03
76910,1765,Luciano Acosta,Meio-campista,Argentina,1994-05-31
77159,1765,Jefferson Savarino,Meio-campista,Venezuela,1996-11-11
104480,1765,Julián Millán,Meio-campista,Colombia,1998-03-27
145985,1765,Hércules,Meio-campista,Brazil,2000-10-20
179177,1765,Martinelli,Meio-campista,Brazil,2001-10-05
203305,1765,João Pedro,Meio-campista,Brazil,2005-07-15
245200,1765,Facundo Bernal,Meio-campista,Uruguay,2003-08-21
274154,1765,Kaio,Meio-campista,Brazil,2007-02-19
274160,1765,Breno,Meio-campista,Brazil,2007-03-24
274164,1765,Davi Melo,Meio-campista,Brazil,2005-11-20
278022,1765,Vagno,Meio-campista,Brazil,2007-09-26
291284,1765,Naarã Teixeira,Meio-campista,Brazil,2008-01-12
21689,1765,Hulk,Atacante,Brazil,1986-07-25
21951,1765,Germán Cano,Atacante,Argentina,1988-02-02
28614,1765,Agustín Canobbio,Atacante,Uruguay,1998-10-01
178998,1765,Yago,Atacante,Brazil,2001-08-02
181336,1765,Kevin Serna,Atacante,Colombia,1997-12-22
191363,1765,Rodrigo Castillo,Atacante,Argentina,1999-02-26
203321,1765,Agner Moura,Atacante,Brazil,2005-03-22
221342,1765,Matheus Reis,Atacante,Mexico,2007-04-02
273195,1765,Riquelme Felipe,Atacante,Brazil,2007-03-13
274162,1765,Oliver,Atacante,Brazil,2007-05-11
278023,1765,Keven Samuel,Atacante,Brazil,2007-01-26
278024,1765,Wesley Natã,Atacante,Brazil,2008-04-18
278025,1765,Kelwin,Atacante,Brazil,2006-03-24
157533,1765,John Kennedy,Centroavante,Brazil,2002-05-18
1695,1766,Everson,Goleiro,Brazil,1990-07-22
178929,1766,Gabriel Delfim,Goleiro,Brazil,2002-07-10
276227,1766,Robert,Goleiro,Brazil,2005-02-03
276267,1766,Pedro,Goleiro,Brazil,2006-05-16
290801,1766,Kaio de Assis,Goleiro,Brazil,2008-05-03
1773,1766,Vitor Hugo,Defensor,Brazil,1991-05-20
8395,1766,Júnior Alonso,Defensor,Paraguay,1993-02-09
24673,1766,Ángelo Preciado,Defensor,Ecuador,1998-02-18
141379,1766,Natanael,Defensor,Brazil,2002-01-05
218742,1766,Iván Román,Defensor,Chile,2006-07-12
249148,1766,Igor,Defensor,Brazil,2006-02-03
249463,1766,Samuel,Defensor,Brazil,2006-02-09
285293,1766,Vitor Fernandes,Defensor,Brazil,2008-03-04
290769,1766,Luís Gustavo,Defensor,Brazil,2006-03-24
290772,1766,Kauã Pascini,Defensor,Brazil,2008-03-05
1447,1766,Maycon,Meio-campista,Brazil,1997-07-15
16476,1766,Bernard,Meio-campista,Brazil,1992-09-08
24670,1766,Alan Franco,Meio-campista,Ecuador,1998-08-21
46266,1766,Tomás Cuello,Meio-campista,Argentina,2000-03-05
72781,1766,Gustavo Scarpa,Meio-campista,Brazil,1994-01-05
82534,1766,Igor Gomes,Meio-campista,Brazil,1999-03-17
178854,1766,Victor Hugo Gomes,Meio-campista,Brazil,2004-05-11
179174,1766,Alan Minda,Meio-campista,Ecuador,2003-05-14
189371,1766,Alexsander Gomes,Meio-campista,Brazil,2003-10-08
213331,1766,Tomás Pérez,Meio-campista,Argentina,2005-08-26
260075,1766,Patrick Silva,Meio-campista,Brazil,2004-03-19
276189,1766,José Phelipe,Meio-campista,Brazil,2005-06-14
276210,1766,Hendel,Meio-campista,Brazil,2008-04-03
276263,1766,Lucas Louback,Meio-campista,Brazil,2006-04-13
285292,1766,Mateus Iseppe,Meio-campista,Brazil,2006-05-02
288491,1766,Wallysson Freitas,Meio-campista,Brazil,2008-04-25
290766,1766,Murillo Cardoso,Meio-campista,Brazil,2006-07-21
290768,1766,Mamady Cissé,Meio-campista,Guinea,2007-01-01
294994,1766,Lucas Silva,Meio-campista,Brazil,2006-03-30
1182,1766,Dudu,Atacante,Brazil,1992-01-07
7569,1766,Mateo Cassierra,Atacante,Colombia,1997-04-13
276224,1766,Eric Soares,Atacante,Brazil,2006-01-08
276280,1766,Ryan Felipe,Atacante,Brazil,2006-07-28
287624,1766,João Castro,Atacante,Brazil,2009-07-16
290765,1766,Cauã Campos,Atacante,Brazil,2008-06-30
294996,1766,Riquelme Henrique,Atacante,Brazil,2009-01-17
131258,1766,Ruan,Zagueiro,Brazil,1999-06-07
123350,1766,Reinier,Meio-campista Ofensivo,Brazil,2002-01-19
2283,1766,Lyanco,Zagueiro,Brazil,1997-02-01
1671,1766,Renan Lodi,Lateral Esquerdo,Brazil,1998-04-08
1170,1767,Weverton,Goleiro,Brazil,1987-12-13
168962,1767,Gabriel Chapeco,Goleiro,Brazil,2000-03-29
249197,1767,Thiago Beltrame,Goleiro,Brazil,2003-07-02
290930,1767,Gabriel Menegon,Goleiro,Brazil,2008-10-14
1072,1767,Marlon,Defensor,Brazil,1997-05-20
1138,1767,Walter Kannemann,Defensor,Argentina,1991-03-14
1178,1767,Marcos Rocha,Defensor,Brazil,1988-12-11
1387,1767,João Pedro,Defensor,Brazil,1996-11-15
1436,1767,Fabián Balbuena,Defensor,Paraguay,1991-08-23
147442,1767,Erick Noriega,Defensor,Peru,2001-10-22
168793,1767,Wagner Leonardo,Defensor,Brazil,1999-07-23
181463,1767,Gustavo Martins,Defensor,Brazil,2002-08-11
211602,1767,Viery,Defensor,Brazil,2005-01-02
263955,1767,Athos Thawan,Defensor,Brazil,2005-03-29
276217,1767,Borges,Defensor,Brazil,2006-06-07
276278,1767,Luis Guedes,Defensor,Brazil,2008-01-16
276281,1767,Pedro Gabriel,Defensor,Brazil,2007-06-06
294384,1767,Vitor Ramon,Defensor,Brazil,2008-01-15
1087,1767,Dodi,Meio-campista,Brazil,1996-04-17
33078,1767,Felipe Carballo,Meio-campista,Uruguay,1996-10-04
46178,1767,Mathías Villasanti,Meio-campista,Paraguay,1997-01-24
74729,1767,Caio Paulista,Meio-campista,Brazil,1998-05-11
116177,1767,Tetê,Meio-campista,Brazil,2000-02-15
117570,1767,José Enamorado,Meio-campista,Colombia,1999-01-13
170674,1767,Juan Ignacio Nardoni,Meio-campista,Argentina,2002-07-14
178482,1767,Miguel Monsalve,Meio-campista,Colombia,2004-02-27
213173,1767,Leonel Perez,Meio-campista,Argentina,2004-08-09
249139,1767,Riquelme,Meio-campista,Brazil,2006-08-13
273290,1767,Tiago Goncalves,Meio-campista,Brazil,2008-02-02
276206,1767,Bernardo Zortea,Meio-campista,Brazil,2007-03-21
276279,1767,Gabriel Mec,Meio-campista,Brazil,2008-04-11
290803,1767,Jefinho,Meio-campista,Brazil,2006-12-14
293081,1767,Rafael Gomes,Meio-campista,Brazil,2008-04-15
3219,1767,Cristian Pavón,Atacante,Argentina,1996-01-21
8863,1767,Francis Amuzu,Atacante,Belgium,1999-08-23
194867,1767,Andre,Atacante,Brazil,2001-12-17
276220,1767,Smiley,Atacante,Brazil,2007-05-08
276269,1767,Jeferson,Atacante,Brazil,2007-01-16
290701,1767,Roger Dias,Atacante,Brazil,2008-04-29
37833,1767,Carlos Vinícius,Centroavante,Brazil,1995-03-25
3467,1767,Martin Braithwaite,Centroavante,Denmark,1991-06-05
3230,1767,Willian,Ponta Esquerdo,Brazil,1988-08-09
1148,1767,Arthur,Volante,Brazil,1996-08-12
1662,1768,Santos,Goleiro,Brazil,1990-03-17
187426,1768,Mycael,Goleiro,Brazil,2004-03-12
249158,1768,Matheus Soares,Goleiro,Brazil,2005-01-10
278568,1768,Maksym Voronov,Goleiro,Ukraine,2006-06-09
1386,1768,Léo,Defensor,Brazil,1996-03-06
1584,1768,Dudu,Defensor,Brazil,1997-05-30
22166,1768,Juan Aguirre,Defensor,Colombia,1996-08-29
22673,1768,Alejandro García,Defensor,Colombia,2001-02-28
104494,1768,Carlos Terán,Defensor,Colombia,2000-09-24
127557,1768,Gastón Benavídez,Defensor,Argentina,1995-10-23
153853,1768,Lucas Esquivel,Defensor,Argentina,2001-10-14
203402,1768,Derik,Defensor,Brazil,2005-07-24
203659,1768,Filipinho,Defensor,Brazil,2001-10-18
227055,1768,Marcos Andre,Defensor,Brazil,2006-03-23
249229,1768,Arthur Dias,Defensor,Brazil,2007-04-10
286575,1768,Gilberto Leite,Defensor,Brazil,2005-03-27
290567,1768,Murilo Camargo,Defensor,Brazil,2009-03-29
290568,1768,Bruno Ramos,Defensor,Brazil,2008-08-16
290570,1768,Claudio Henrique,Defensor,Brazil,2005-10-26
1083,1768,Jádson,Meio-campista,Brazil,1993-08-30
8357,1768,Luiz Gustavo,Meio-campista,Brazil,1987-07-23
131264,1768,Bruno Zapelli,Meio-campista,Argentina,2002-05-17
178353,1768,Juan Portilla,Meio-campista,Colombia,1998-09-12
202198,1768,Isaac,Meio-campista,Brazil,2004-04-24
211606,1768,Dudu,Meio-campista,Brazil,2006-01-01
221387,1768,Chiqueti,Meio-campista,Brazil,2005-02-09
