id_tecnico,id_time,nome_tecnico,nacionalidade,data_nascimento
293,1765,Luis Zubeldía,Argentina,1981-01-13
45858,1766,Eduardo Domínguez,Argentina,1978-09-01
293872,1767,Jéssica Lima,Brazil,1981-06-08
278640,1768,João Eduardo Louro Baptista Cr,Portugal,1993-08-28
45403,1769,Abel Ferreira,Portugal,1978-12-22
177226,1770,Franclim Carvalho,Portugal,1987-03-30
145312,1771,Artur Jorge,Portugal,1972-01-01
248709,1772,Fábio Matias,Brazil,1979-09-25
203358,1776,Dorival Júnior,Brazil,1962-04-25
12718,1777,Rogério Ceni,Brazil,1973-01-22
11165,1779,Fernando Diniz,Brazil,1974-03-27
293871,1780,Possato,Brazil,1979-01-30
213375,1782,Jair Ventura,Brazil,1979-03-14
15925,1783,Leonardo Jardim,Portugal,1974-08-01
246731,4241,Fernando Seabra,Brazil,1977-06-19
11131,4286,Vágner Mancini,Brazil,1966-10-24
181493,4287,Leo Condé,Brazil,1978-04-21
249467,4364,Rafael Guanaes,Brazil,1981-03-27
295217,6684,Leonardo Ramos,Brazil,1987-05-18
77180,6685,Cuca,Brazil,1963-06-07
