id_time,nome_time,sigla,fundacao,estadio
1765,Fluminense FC,FLU,1902,Estadio Jornalista Mário Filho
1766,CA Mineiro,CAM,1908,Estádio Raimundo Sampaio
1767,Grêmio FBPA,FBP,1903,Arena do Grêmio
1768,CA Paranaense,CAP,1924,Estádio Joaquim Américo Guimarães
1769,SE Palmeiras,PAL,1914,Allianz Parque
1770,Botafogo FR,BOT,1904,Estádio Nilton Santos
1771,Cruzeiro EC,CRU,1921,Estádio Governador Magalhães Pinto
1772,Chapecoense AF,CHA,1973,Arena Condá
1776,São Paulo FC,PAU,1930,Estádio do Morumbi
1777,EC Bahia,BAH,1931,Estádio Governador Roberto Santos
1779,SC Corinthians Paulista,COR,1910,Neo Química Arena
1780,CR Vasco da Gama,VAS,1898,Estádio Club de Regatas Vasco da Gama
1782,EC Vitória,VIT,1899,Estádio Manoel Barradas
1783,CR Flamengo,FLA,1919,Estadio Jornalista Mário Filho
4241,Coritiba FBC,COR,1909,Estádio Major Antônio Couto Pereira
4286,RB Bragantino,RBB,1928,Estádio Nabi Abi Chedid
4287,Clube do Remo,CRE,1905,Estádio Estadual Jornalista Edgar Augusto Proença
4364,Mirassol FC,MIR,1925,Estádio José Maria de Campos Maia
6684,SC Internacional,SCI,1909,Estádio José Pinheiro Borba
6685,Santos FC,SAN,1912,Estádio Urbano Caldeira
